geneSymbol,ID,Ratio_40A_03A,Ratio_03A_40A,average 03A,Average 40A,PAUVKY.03A,PAWHSD.03A,PAUTLA.03A,PAVUDU.03A,PAUVKY.40A,PAWHSD.40A,PAUTLA.40A,PAVUDU.40A
YWHAE,8237,0.67,1.48,655,442,795,334,757,735,520,0,264,984
WAC,2229,0.67,1.48,347,234,281,236,871,0,265,0,304,366
WAC,2230,0.67,1.48,347,234,281,236,871,0,265,0,304,366
UBR4,1407,0.67,1.48,239,161,223,155,335,243,200,78,157,209
KAT7,7972,0.68,1.47,340,231,363,176,557,264,252,75,236,359
SENP3-EIF4A1,8132,0.68,1.47,1395,949,1446,706,1819,1608,873,264,672,1987
NONO,19230,0.68,1.46,623,426,679,278,830,703,497,123,271,813
LSM14A,9354,0.68,1.46,592,406,447,271,994,655,411,180,440,591
NARF,8202,0.68,1.46,316,216,309,220,376,357,216,77,173,397
ARPC4,13489,0.69,1.44,495,343,504,0,857,618,385,0,396,592
MACROH2A1,15404,0.70,1.43,697,485,882,295,889,720,264,134,274,1269
HNRNPU,1669,0.70,1.43,737,514,1056,302,762,829,549,0,544,962
DDX3X,19148,0.69,1.43,272,189,299,206,302,280,245,58,203,249
KAT7,7969,0.69,1.43,323,224,357,184,449,300,243,93,254,307
PFDN5,4281,0.69,1.43,451,314,403,278,591,533,356,188,321,392
WDR26,1549,0.69,1.43,340,237,319,271,769,0,347,0,319,280
DDX3X,19149,0.69,1.43,272,189,299,206,303,278,246,58,203,249
SEC11A,6906,0.70,1.43,366,256,281,176,544,463,223,40,218,542
FTH1,3724,0.70,1.43,4592,3221,4470,2573,5264,6062,5133,0,4562,3187
PHB2,5075,0.70,1.42,279,196,249,163,329,376,220,96,162,304
PHB2,5076,0.70,1.42,279,196,249,163,329,376,220,96,162,304
ETF1,15432,0.70,1.42,367,258,555,206,708,0,330,0,365,336
DDX3X,19144,0.71,1.41,657,464,792,408,778,650,552,0,579,726
DDX3X,19145,0.71,1.41,657,464,792,408,778,650,552,0,579,726
QARS1,14014,0.70,1.41,339,239,311,171,452,421,301,38,158,460
USP15,4353,0.70,1.41,278,196,228,118,450,316,230,0,229,326
KHDRBS1,702,0.71,1.41,504,357,524,0,781,711,436,0,284,708
KHDRBS1,703,0.71,1.41,504,357,524,0,781,711,436,0,284,708
STK4,11643,0.71,1.40,299,212,256,145,371,425,359,0,291,199
PRKCSH,9240,0.71,1.40,1038,740,895,532,1438,1285,751,144,545,1520
MAPK14,16049,0.72,1.39,357,257,249,205,512,463,346,106,255,319
MARCHF6,14868,0.71,1.38,229,164,243,88,345,238,171,15,197,273
PFDN5,4280,0.72,1.38,430,310,398,267,545,509,354,185,313,387
PFDN5,4282,0.72,1.38,430,310,398,267,545,509,354,185,313,387
BAG6,16478,0.72,1.38,245,176,314,130,266,270,201,104,115,285
ETF1,15429,0.73,1.37,354,258,528,181,708,0,305,0,369,358
HNRNPA3,10072,0.73,1.36,340,250,0,227,548,584,391,0,243,364
RPL9,14684,0.74,1.35,3075,2271,3602,2373,6323,0,3476,1781,3827,0
PTBP1,9569,0.74,1.34,332,247,482,160,318,368,264,15,117,590
SNHG29,7764,0.75,1.33,1093,820,809,593,1544,1426,727,104,418,2029
UROD,822,0.75,1.33,435,327,498,227,550,466,312,13,108,873
TMEM259,9590,0.75,1.33,707,533,669,556,798,805,686,186,696,562
AZIN1,17949,0.75,1.32,286,215,270,120,474,278,258,86,236,278
PPP1R12A,5109,0.75,1.32,196,147,166,85,301,230,270,6,177,134
PRRC2A,15998,0.75,1.32,232,175,276,125,310,215,222,0,151,325
ABCC1,6979,0.75,1.32,221,167,0,163,349,372,328,0,168,172
CD44,3130,0.76,1.30,385,295,466,208,583,283,379,0,568,231
QARS1,14013,0.76,1.30,272,208,0,204,494,391,265,0,175,392
ASAH1,18092,0.76,1.30,246,188,314,156,257,256,369,15,105,264
ASAH1,18094,0.76,1.30,246,188,314,156,257,256,369,15,105,264
CANX,15130,0.77,1.30,800,616,892,292,1070,946,626,106,294,1436
GAS5,1341,0.77,1.29,536,415,453,301,725,663,364,121,271,903
DDX3X,19143,0.78,1.28,657,511,792,408,778,650,552,185,579,726
PCBP2,4296,0.78,1.28,1406,1094,0,982,2611,2029,1344,0,1114,1916
CSNK1D,8810,0.78,1.28,260,203,172,154,346,369,211,226,192,183
CSDE1,1058,0.78,1.27,887,695,935,0,1552,1062,752,149,707,1173
CD164,16236,0.79,1.25,381,304,532,125,517,351,269,55,277,613
ENSG00000288663,4285,0.80,1.25,714,571,719,404,926,805,565,400,535,783
PFDN5,4283,0.80,1.25,714,571,719,404,926,805,565,400,535,783
PFDN5,4284,0.80,1.25,714,571,719,404,926,805,565,400,535,783
HNRNPA2B1,17379,0.80,1.24,225,180,326,95,200,279,275,82,155,207
ACTR2,10610,0.81,1.23,763,617,918,277,814,1041,680,0,635,1152
MARCHF6,14870,0.81,1.23,331,268,297,155,502,369,253,118,327,373
GMFG,9743,0.81,1.23,240,194,0,226,377,356,286,0,167,323
EIF3A,2600,0.81,1.23,446,363,531,280,528,445,459,0,381,611
HNRNPA3,10071,0.81,1.22,578,471,0,375,927,1009,648,0,478,757
PABPC1,17917,0.82,1.22,3140,2565,3363,1346,4349,3503,3245,0,2772,4243
BCL7B,17499,0.81,1.22,364,297,412,208,470,366,269,101,352,464
RPL23,8396,0.82,1.22,4139,3405,0,2499,7771,6286,5073,0,0,8545
EIF3A,2599,0.82,1.21,453,372,561,244,576,431,384,0,410,694
STK4,11641,0.82,1.21,253,209,216,110,297,388,327,0,303,204
SCAF8,15864,0.83,1.20,255,212,209,142,397,272,242,0,278,327
KAT7,7968,0.83,1.20,198,165,287,142,364,0,190,0,188,280
CANX,15124,0.83,1.20,666,556,678,271,902,811,587,128,282,1226
USP9X,19122,0.83,1.19,231,193,195,0,401,326,291,0,227,253
DDX21,2351,0.84,1.19,351,295,537,0,444,423,216,57,460,447
SCAF8,15866,0.83,1.18,188,158,170,0,339,242,201,0,176,253
CTSS,1116,0.84,1.17,237,201,552,79,172,145,120,81,371,232
PRRC2C,360,0.85,1.17,382,326,364,126,606,433,425,51,458,371
SNHG5,16657,0.86,1.17,968,830,893,571,1075,1332,949,485,421,1463
SNHG5,16656,0.86,1.16,963,826,890,569,1066,1328,946,485,418,1455
SNHG5,16655,0.86,1.16,965,827,890,571,1067,1330,946,485,418,1460
BNIP2,6703,0.86,1.15,220,190,221,137,522,0,205,0,247,306
RBBP7,19384,0.86,1.15,404,349,465,165,450,534,377,14,258,746
HNRNPH1,15580,0.86,1.15,422,365,460,198,532,498,315,317,360,469
DDX5,8696,0.87,1.14,761,664,1057,351,979,657,649,547,733,728
BTAF1,2473,0.87,1.14,211,184,184,126,275,260,272,0,275,189
ATP5PD,8723,0.88,1.12,211,187,254,75,258,257,203,47,136,361
BCL7B,17498,0.89,1.11,194,173,223,123,247,184,175,34,214,270
MDM4,481,0.89,1.11,163,145,164,85,209,192,170,32,188,191
